Location,Sample,Ang-1,Ang-2,Azu,CHI3L1,CRP,IL-10,IL-6,IL-8,IP-10,MxA,sTNFR-1,sTREM-1,TRAIL
"58(1,B8)",Unknown58,70,50,1472.5,31,559,58,36,74.5,49,35,497,156,44
"59(1,C8)",Unknown59,71,49,1568,32,576,64,36,80,49,34,225,155,42
"60(1,D8)",Unknown60,69,54,1460.5,33,598,66,39,81,51,36,181,160,44
"61(1,E8)",Unknown61,69,48,1527,33,666,65,36,70,51,35,181,166.5,44
"62(1,F8)",Unknown62,64,47.5,1506,31,526.5,62,38,67,46,35,167,157.5,42
"63(1,G8)",Unknown63,78,52,1532.5,31,585,59,37,71,50,35,41,173,45
"64(1,H8)",Unknown64,76,49,1529,31,580.5,66,38,79,50,36,194,181,48
"65(1,A9)",Unknown65,65,57,1346,33,582.5,69,7473,69.5,53,36,158,150,44
"66(1,B9)",Unknown66,75.5,60,1471,33,574,63,4767,66.5,52,36,181,175,45
"67(1,C9)",Unknown67,71,50.5,1434,32,576,65,1915,74,49,35,165.5,155,41
"68(1,D9)",Unknown68,69,50,1488,33,574,63,667,74.5,50,34,172,163,43
"69(1,E9)",Unknown69,70,50,1495,32,620,66,214,81,51.5,34,161,161,45
"70(1,F9)",Unknown70,69,49,1555.5,31,564,59,81,71,47,36,169,142,41
"71(1,G9)",Unknown71,68,49,1441,31,578.5,65,48,65,47,35,174,157,43
"72(1,H9)",Unknown72,71,51,1577,31,542,62,37,79.5,49,34,180,160.5,44
"73(1,A10)",Unknown73,68,56,1376.5,32,546.5,68,7173,63,48,37,157,153,45
"74(1,B10)",Unknown74,65,48,1494,31,564,63,4262,65,48,36,155,144,42.5
"75(1,C10)",Unknown75,69,46,1354.5,31,568,61,1736,68,48,34,168,142,44
"76(1,D10)",Unknown76,67,48,1439,33,539,61,670,71,50,35,154,156,44
"77(1,E10)",Unknown77,81,48,1619,34,613,71,208,85,54,35,197,180.5,47.5
"78(1,F10)",Unknown78,72,46,1562.5,31,594,61,81,67,49,36,188,169.5,44
"79(1,G10)",Unknown79,66,45,1459,30,525,57,46,71,48,34,169,144,41
"80(1,H10)",Unknown80,70.5,50,1415,32,590.5,64,37,79,50,35,186.5,168,44
"81(1,A11)",Unknown81,91,1161,1326,34,694,74,48,82,51,37,163,146,42.5
"82(1,B11)",Unknown82,76,180,1528.5,32,573,61,37,84,47,34,211,174.5,46
