Location,Sample,CRP,sTREM-1,Ang-2,Ang-1,sTNFR-1,IL-6,TRAIL,IL-10,Azu,MxA,IP-10,CHI3L1,IL-8
"20(1,D3)",Unknown20,579.5,155.5,47.5,68,175.5,37,45,65.5,1353,49,52.5,32,82
"21(1,E3)",Unknown21,609,163,52,73,184,39,47,72,1437,38,51,33,74
"22(1,F3)",Unknown22,576,150.5,49,65,172,37,42,66,1393,34,50,32,80
"23(1,G3)",Unknown23,596.5,166,49,68,183,37,44,67,1570,34,52,31,73
"24(1,H3)",Unknown24,662,159,50.5,66,181,36,41,68,1465.5,33,49,31,78
"25(1,A4)",Unknown25,2910,279,160,251,408.5,69,135,143,4786,62,92,119,124
"26(1,B4)",Unknown26,2494,230,127,172,298,58,90,110,4421.5,50,73.5,77,88.5
"27(1,C4)",Unknown27,1805.5,178,77,116.5,234,45,61,86.5,4008,38,59,43.5,73
"28(1,D4)",Unknown28,637,159,48,69,181,37,44,67,1494.5,50,50,33,94
"29(1,E4)",Unknown29,618,163,46,71,182,36,43,64,1456,37,52,32,85
"30(1,F4)",Unknown30,598,167,45,75,181.5,36,43,66,1462,34,51,31,92.5
"31(1,G4)",Unknown31,627.5,163,49,68.5,181,36,43,63,1459,34,50,32,86
"32(1,H4)",Unknown32,630.5,165,48.5,73,187,37,44,67,1471.5,34,49,32,98
"33(1,A5)",Unknown33,714,234,90,113,194,40,78,242.5,1482.5,1341,65,47,93
"34(1,B5)",Unknown34,652,173,81,80,180,36,49,94,1530,461.5,52,33,79
"35(1,C5)",Unknown35,599,156,54,67,175,36,43,69,1470,122,51,31,82
"36(1,D5)",Unknown36,600,167.5,51,72,195,37,44,69,1513,52.5,49,31,88
"37(1,E5)",Unknown37,555,164.5,49,68,176,36,43,65,1450,36,48,32,70
"38(1,F5)",Unknown38,591.5,161,44.5,66,176,36,42,64,1478,33,49,31,75
"39(1,G5)",Unknown39,585,144,45,68,168,37,43,63,1379,32,47,32,78
"40(1,H5)",Unknown40,614,161,49,68.5,178,36,43,66,1414,32,50,32,92
"41(1,A6)",Unknown41,672,233,93.5,115,193,41,82,273,1398,1432.5,73.5,52,112
"42(1,B6)",Unknown42,665,159,87.5,83.5,176,37,47,86,1448.5,414,50,33,65
"43(1,C6)",Unknown43,612,159,60,71,188,37,45,66,1465,110,50.5,31,75
"44(1,D6)",Unknown44,566,159,47.5,70,174,35,41,65,1414.5,50.5,49,32,89
"45(1,E6)",Unknown45,569,152.5,47,69,173,36,43,67.5,1521,38,49,31,74.5
"46(1,F6)",Unknown46,608,154.5,48,68.5,179.5,37,41,64.5,1448.5,34,48,32,75
"47(1,G6)",Unknown47,576,158,49,64,179,36,44,67,1439,34,50,31,80
"48(1,H6)",Unknown48,623,166,46,67,179,37,42,66,1423,34,51,31,80
"49(1,A7)",Unknown49,599,156,54,66,165,37,1404.5,69,1358.5,34,51,31,72
"50(1,B7)",Unknown50,588,154,52,68,185,37,588,68,1427.5,32,48,31,78
"51(1,C7)",Unknown51,568,160.5,49,70.5,172.5,36,223,65,1493.5,33,49.5,33,74
"52(1,D7)",Unknown52,614,154.5,45,70.5,182,34,92,61,1490,32,47,32,75
"53(1,E7)",Unknown53,607,146,49,70,172,37.5,55,66.5,1339,34,49,31,76
"54(1,F7)",Unknown54,643,164,46.5,69.5,175,35,47,65,1460.5,34,49,31,73.5
"55(1,G7)",Unknown55,608.5,164,48,66,177,37,45,65,1367.5,34,49,31.5,89
"56(1,H7)",Unknown56,608,151,44,67,165,36,42,62,1380,33,49,30,90.5
"57(1,A8)",Unknown57,585.5,146,49,64,162.5,36,1289,68,1435,33,50,31,73
"58(1,B8)",Unknown58,585.5,148,49,65,168.5,37,569,65,1412,33,49,31,73
"59(1,C8)",Unknown59,580,152,47.5,66,169,35,203,69,1447,34,48,31,71
"60(1,D8)",Unknown60,524,161,46,68,174,34,85.5,62,1483,33,48,30,69
"61(1,E8)",Unknown61,647,152,47,68,177,35.5,55.5,65,1395,35,49,32,84
"62(1,F8)",Unknown62,587.5,158,45,68,177,36,45,65,1451,34,48,30,66
"63(1,G8)",Unknown63,627,158.5,47,68.5,179,36,44,64.5,1426,34,49,32,76
"64(1,H8)",Unknown64,613,173,48.5,72,185,36,44,61,1463,32,48.5,32,75
"65(1,A9)",Unknown65,574.5,154.5,51,72,166,36,45,3635.5,1398.5,34,51,33,71
"66(1,B9)",Unknown66,565,144,46,66,169,35,41.5,1286.5,1411,34,49.5,31,79
"67(1,C9)",Unknown67,564,148,43,69,157,35,42,488,1429,32,48,29,80.5
"68(1,D9)",Unknown68,582.5,164,47,71.5,183,36,44,182,1485,34,50,32,78
"69(1,E9)",Unknown69,614.5,153.5,46,65,163,35,42,92.5,1415,34,49,32,68
"70(1,F9)",Unknown70,593,150.5,46,63,165,35,41,70,1428,34,48,30,66
"71(1,G9)",Unknown71,605,167,44,72,179,36,44,65,1430,33,48,31,72
"72(1,H9)",Unknown72,592,168,49,66.5,180.5,38,43,63.5,1546,33,51,31,86
"73(1,A10)",Unknown73,622,163,47,66,171,38,42,3304,1397,33,49.5,30,71
"74(1,B10)",Unknown74,586,155,45,65,165,35,45,1459,1453,33,49,31,71
"75(1,C10)",Unknown75,605,159.5,46,71,160.5,35,43,477,1454,33,48,30,73
"76(1,D10)",Unknown76,551.5,160,47,69,170,36,43,178,1458,32,49,30,75
"77(1,E10)",Unknown77,569.5,165,48,69.5,169,36,42,94,1449.5,33,50,30,78
"78(1,F10)",Unknown78,588,153,48,70,179,36,43,70,1410,33,48,29,69
"79(1,G10)",Unknown79,609.5,168,49,69,179,36,42,67,1412.5,33.5,49,31,71
"80(1,H10)",Unknown80,605,159,49,70,174,36,43,66,1491.5,33,48,31,78
"81(1,A11)",Unknown81,7744.5,145,46,64,162,38,45,67,1383,34,54,32,70.5
"82(1,B11)",Unknown82,3849.5,149,44,64.5,166,36,42,64,1429,32,51,30,65
"83(1,C11)",Unknown83,1678,141,42,63,155,35,39,63,1382.5,33,48,30.5,66
"84(1,D11)",Unknown84,1019,170,46,63,180,35,44,65,1465,34,49,30,71.5
"85(1,E11)",Unknown85,693,164,47,66,194,35,43,63,1514,32,50,31.5,73
"86(1,F11)",Unknown86,618.5,166,48,68,181,36,45,64,1440.5,34,49,32,71
"87(1,G11)",Unknown87,594,169,50,71,184,35,43,67,1562,33,51,30,78
"88(1,H11)",Unknown88,629.5,159,48,70,183,35,41,65,1516,34,49,31,80.5
"89(1,A12)",Unknown89,7129.5,158,48,67,168,37,44,67,1432,34,54,33,73
"90(1,B12)",Unknown90,3378,153,45,68,157.5,37,44,65,1410,33,50,32,66.5
"91(1,C12)",Unknown91,1809,139,45,59.5,151,36,41,67.5,1271,34,52,31.5,73
"92(1,D12)",Unknown92,1004,160.5,44,70,182,36,44,67,1501,35,52,33,82
"93(1,E12)",Unknown93,699,158,45,62,164,35,42,63,1314.5,33,49.5,31,72
"94(1,F12)",Unknown94,641,149.5,47,65,161,34,45,67,1382,33,49.5,32,70
"95(1,G12)",Unknown95,630.5,156,49,62.5,170,37,43,69,1355,34,51,30,74
"96(1,H12)",Unknown96,635,161,53,72,176.5,36,44,68,1390,33,52,31,88
