Location,Sample,CRP,sTREM-1,Ang-2,Ang-1,sTNFR-1,IL-6,TRAIL,IL-10,Azu,MxA,IP-10,CHI3L1,IL-8
"1(1,A1)",Unknown1,703,395,117,1336.5,203,48,60.5,293.5,1300,66,95,71,97
"2(1,B1)",Unknown2,626.5,166,68,418.5,164,37,45,78,1395,37,54,35,91.5
"3(1,C1)",Unknown3,620,170,77,153.5,169,38,47,72,1519,35,54,33,71
"4(1,D1)",Unknown4,572,162,53,96.5,183,38,43,69,1522,33,53,32,90
"5(1,E1)",Unknown5,656,148.5,49.5,72,159.5,40,42.5,69,1451,34,52,32,86
"6(1,F1)",Unknown6,579.5,150,50,68.5,166,37,43,65,1374,33,51,30,70
"7(1,G1)",Unknown7,612,155.5,48,71,170,34.5,43.5,67,1436,34,51,31,77
"8(1,H1)",Unknown8,671,170,52,72,185,36,45,67,1480.5,34,51.5,32,97
"9(1,A2)",Unknown9,723,435.5,101.5,1213,202,49,65,333,1401,73,99,77,100
"10(1,B2)",Unknown10,650.5,166,68,394.5,168,39,46,84,1520,38,54,33.5,74.5
"11(1,C2)",Unknown11,618,168,81.5,146.5,160,38,45,69,1446,35,53,33,74
"12(1,D2)",Unknown12,628,161,57,96,165,37,45,66,1540,34,50,33,72
"13(1,E2)",Unknown13,617,163,51,81,163.5,37,42,69,1507.5,33.5,52,33,76
"14(1,F2)",Unknown14,614,149,50,74,164,36,44,65,1457.5,35,51,31,82
"15(1,G2)",Unknown15,639,156,50,68,186,36,44.5,69,1485,34,51,32,86.5
"16(1,H2)",Unknown16,616,162,47.5,67,182,37,42,65,1405,33,51,32,97
"17(1,A3)",Unknown17,3288.5,295,153,245,447,67,132,164,4944,68,103,126,118
"18(1,B3)",Unknown18,2492,231.5,108.5,172,296.5,58,92,110,4457,51,78,79,94
"19(1,C3)",Unknown19,1640,179,74,102,228,45,60,79,4041,39,58,44,63
